,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
14,AR,A1,A03,3,1,출입구-승강장,5,,5) 공항철도 서울역 방면 승강장 이용
15,AR,A1,A03,4,1,출입구-승강장,1,,1) 7번 출입구 근처 엘리베이터 이용 지하 2층으로 이동
16,AR,A1,A03,4,1,출입구-승강장,2,,2) 공항철도 환승통로 이동
17,AR,A1,A03,4,1,출입구-승강장,3,,3) 지하 2층 맞이방에서 디지털미디어시티 방면 엘리베이터 이용
18,AR,A1,A03,4,1,출입구-승강장,4,,4) 지하 3층으로 이동
19,AR,A1,A03,4,1,출입구-승강장,5,,5) 공항철도 디지털미디어시티 방면 승강장 이용
20,AR,A1,A03,1,3,환승경로,1,,1) 서울역 방면 승강장
21,AR,A1,A03,1,3,환승경로,2,,2) 3번칸 근처 엘리베이터 이용
22,AR,A1,A03,1,3,환승경로,3,,3) 지하2층 이동 후 2호선 환승통로 이용
23,AR,A1,A03,1,3,환승경로,4,,4) 4번출입구 근처 엘리베이터 이용
24,AR,A1,A03,1,3,환승경로,5,,5) 지하1층 이동 후 환승통로 이용
25,AR,A1,A03,1,3,환승경로,6,,6) 엘리베이터 이용
26,AR,A1,A03,1,3,환승경로,7,,7) 지하2층 승강장 이동
27,AR,A1,A03,2,3,환승경로,1,,1) 디지털미디어시티 방면 승강장
28,AR,A1,A03,2,3,환승경로,2,,2) 4번칸 근처 엘리베이터 이용
29,AR,A1,A03,2,3,환승경로,3,,3) 지하2층 이동 후 2호선 환승통로 이용
30,AR,A1,A03,2,3,환승경로,4,,4) 4번출입구 근처 엘리베이터 이용
31,AR,A1,A03,2,3,환승경로,5,,5) 지하1층 이동 후 환승통로 이용
32,AR,A1,A03,2,3,환승경로,6,,6) 엘리베이터 이용
33,AR,A1,A03,2,3,환승경로,7,,7) 지하2층 승강장 이동
34,AR,A1,A03,3,3,환승경로,1,,1) 서울역 방면 승강장
35,AR,A1,A03,3,3,환승경로,2,,2) 3번칸 근처 엘리베이터 이용
36,AR,A1,A03,3,3,환승경로,3,,3) 지하2층 이동
37,AR,A1,A03,3,3,환승경로,4,,4) 고객센터 근처 서강방면 엘리베이터 이용
38,AR,A1,A03,3,3,환승경로,5,,5) 지하1층 승강장 이동
39,AR,A1,A03,4,3,환승경로,1,,1) 서울역 방면 승강장
40,AR,A1,A03,4,3,환승경로,2,,2) 3번칸 근처 엘리베이터 이용
41,AR,A1,A03,4,3,환승경로,3,,3) 지하2층 이동
42,AR,A1,A03,4,3,환승경로,4,,4) 고객센터 근처 가좌방면 엘리베이터 이용
43,AR,A1,A03,4,3,환승경로,5,,5) 지하1층 승강장 이동
44,AR,A1,A03,5,3,환승경로,1,,1) 디지털미디어시티 방면 승강장
45,AR,A1,A03,5,3,환승경로,2,,2) 4번칸 근처 엘리베이터 이용
46,AR,A1,A03,5,3,환승경로,3,,3) 지하2층 이동
47,AR,A1,A03,5,3,환승경로,4,,4) 고객센터 근처 서강방면 엘리베이터 이용
48,AR,A1,A03,5,3,환승경로,5,,5) 지하1층 승강장 이동
49,AR,A1,A03,6,3,환승경로,1,,1) 디지털미디어시티 방면 승강장
50,AR,A1,A03,6,3,환승경로,2,,2) 4번칸 근처 엘리베이터 이용
51,AR,A1,A03,6,3,환승경로,3,,3) 지하2층 이동
