역명,호선,문화공간,휠체어리프트,만남의장소,환승주차장,자전거보관소,엘리베이터,기차예매역,무인민원발급기,환전키오스크,수유실,충전기운영수량
강동,5,N,Y,Y,Y,Y,Y,N,N,N,Y,0.0
길동,5,N,N,Y,N,Y,Y,N,Y,N,N,0.0
굽은다리,5,N,N,Y,N,Y,Y,N,Y,N,N,0.0
명일,5,N,N,Y,N,Y,Y,N,N,N,N,0.0
고덕,5,Y,N,Y,N,Y,Y,N,Y,N,Y,0.0
상일동,5,N,Y,Y,N,Y,Y,N,Y,N,N,0.0
둔촌동,5,N,N,Y,N,Y,Y,N,Y,N,N,1.0
올림픽공원,5,N,N,Y,N,Y,Y,N,N,N,Y,1.0
방이,5,N,N,Y,N,Y,Y,N,N,N,N,0.0
오금,5,N,N,N,N,N,Y,N,Y,N,N,0.0
개롱,5,N,N,N,N,Y,Y,N,N,N,N,0.0
거여,5,N,N,Y,N,Y,Y,N,Y,N,Y,0.0
마천,5,N,Y,Y,N,Y,Y,N,N,N,N,1.0
미사,5,N,N,Y,N,N,Y,N,Y,N,Y,
하남풍산,5,N,N,Y,N,N,Y,N,Y,N,Y,
응암,6,N,N,Y,N,Y,Y,N,Y,N,Y,2.0
역촌,6,N,N,Y,N,Y,Y,N,N,N,N,1.0
불광,6,N,Y,N,N,Y,Y,N,N,N,Y,2.0
독바위,6,N,N,N,N,Y,Y,N,N,N,N,2.0
연신내,6,N,Y,N,N,N,Y,N,N,N,N,2.0
구산,6,N,Y,N,N,Y,Y,N,N,N,N,0.0
새절,6,N,Y,Y,N,Y,Y,N,N,N,N,2.0
증산,6,N,N,Y,N,Y,Y,N,N,N,N,2.0
디지털미디어시티,6,N,Y,Y,N,Y,Y,N,N,N,N,0.0
월드컵경기장,6,Y,N,Y,N,Y,Y,N,N,N,Y,1.0
마포구청,6,N,Y,Y,N,Y,Y,N,N,N,N,0.0
망원,6,N,N,Y,N,Y,Y,N,N,N,N,1.0
합정,6,N,Y,N,N,Y,Y,N,Y,N,Y,1.0
상수,6,N,Y,N,N,Y,Y,N,N,N,N,0.0
광흥창,6,N,Y,Y,N,Y,Y,N,N,N,N,1.0
대흥,6,Y,Y,Y,N,Y,Y,N,N,N,Y,0.0
공덕,6,N,Y,Y,N,N,Y,N,Y,N,Y,1.0
효창공원앞,6,N,Y,N,N,Y,Y,N,N,N,N,0.0
삼각지,6,N,Y,N,N,Y,Y,N,N,N,Y,2.0
녹사평,6,Y,N,Y,N,Y,Y,N,N,N,N,0.0
이태원,6,N,N,N,N,Y,Y,N,N,Y,Y,0.0
한강진,6,N,N,Y,Y,Y,Y,N,N,N,N,1.0
버티고개,6,N,N,Y,N,Y,Y,N,N,N,N,0.0
약수,6,N,N,Y,N,Y,Y,N,N,N,Y,1.0
청구,6,N,N,N,N,N,Y,N,N,N,Y,0.0
신당,6,N,Y,Y,N,Y,Y,N,N,N,N,0.0
동묘앞,6,N,Y,Y,N,Y,Y,N,N,N,Y,0.0
창신,6,N,N,Y,N,Y,Y,N,N,N,N,0.0
보문,6,N,N,Y,N,N,Y,N,N,N,N,2.0
안암,6,N,N,Y,N,Y,Y,N,N,N,Y,0.0
고려대,6,Y,N,Y,N,Y,Y,N,Y,N,N,2.0
월곡,6,N,Y,Y,N,Y,Y,N,N,N,N,2.0
상월곡,6,Y,Y,Y,N,Y,Y,N,N,N,Y,0.0
돌곶이,6,N,N,Y,N,Y,Y,N,N,N,N,2.0
석계,6,N,Y,Y,Y,N,Y,N,N,N,N,0.0
태릉입구,6,N,Y,Y,N,Y,Y,N,N,N,Y,1.0
화랑대,6,N,N,N,Y,Y,Y,N,N,N,N,2.0
봉화산,6,N,Y,Y,Y,Y,Y,N,N,N,N,2.0
신내,6,N,N,N,N,N,Y,N,N,N,N,2.0
장암,7,N,N,Y,Y,Y,Y,N,N,N,N,0.0
